Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,,,,,,,,,,,,,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,,,,,,,,,,,,,,,,,,,,,,,,,WED 415,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,TUES 645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,THURS 1000,,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,,,,,,,,,,,,,,,,,,,,,,,,,WED 430,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,TUES 700,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,THURS 1015,,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,,,,,,,,,,,,,,,,,,,,,,,,,WED 445,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,TUES 715,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,THURS 1030,,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,,,,,,,,,,,,,,,,,,,,,,,,,WED 500,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,TUES 730,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,THURS 1045,,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,,,,,,,,,,,,,,,,,,,,,,,,,WED 515,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,TUES 745,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,THURS 1100,,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,,,,,,,,,,,,,,,,,,,,,,,,,WED 530,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,THURS 1115,,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,,,,,,,,,,,,,,,,,,,,,,,,,WED 545,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,THURS 1130,,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,,,,,,,,,,,,,,,,,,,,,,,,,WED 600,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,THURS 1145,,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,,,,,,,,,,,,,,,,,,,,,,,,,THURS 130,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,,,,,,,,,,,,,,,,,,,,,,,,,THURS 145,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,,,,,,,,,,,,,,,,,,,,,,,,,THURS 200,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,FRI 615,,,,,,,,,,,,,,,,,,,,,,,,,THURS 215,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,FRI 630,,,,,,,,,,,,,,,,,,,,,,,,,THURS 230,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,FRI 645,,,,,,,,,,,,,,,,,,,,,,,,,THURS 245,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,FRI 700,,,,,,,,,,,,,,,,,,,,,,,,,THURS 300,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,,,,,,,,,,,,,,,,,,,,,,,,,THURS 315,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,,,,,,,,,,,,,,,,,,,,,,,,,THURS 330,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,FRI 745,,,,,,,,,,,,,,,,,,,,,,,,,THURS 345,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,FRI 800,,,,,,,,,,,,,,,,,,,,,,,,,THURS 400,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,FRI 815,,,,,,,,,,,,,,,,,,,,,,,,,THURS 415,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,FRI 830,,,,,,,,,,,,,,,,,,,,,,,,,THURS 430,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,FRI 845,,,,,,,,,,,,,,,,,,,,,,,,,THURS 445,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,FRI 900,,,,,,,,,,,,,,,,,,,,,,,,,THURS 500,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,,,,,,,,,,,,,,,,,,,,,,,,,THURS 515,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,,,,,,,,,,,,,,,,,,,,,,,,,THURS 530,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,,,,,,,,,,,,,,,,,,,,,,,,,THURS 545,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,FRI 1000,,,,,,,,,,,,,,,,,,,,,,,,,THURS 600,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,FRI 1015,,,,,,,,,,,,,,,,,,,,,,,,,THURS 745,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,FRI 1030,,,,,,,,,,,,,,,,,,,,,,,,,THURS 800,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,FRI 1045,,,,,,,,,,,,,,,,,,,,,,,,,THURS 915,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,,,,,,,,,,,,,,,,,,,,,,,,,THURS 930,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,,,,,,,,,,,,,,,,,,,,,,,,,THURS 945,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,FRI 1130,,,,,,,,,,,,,,,,,,,,,,,,,FRI 200,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,FRI 1145,,,,,,,,,,,,,,,,,,,,,,,,,FRI 215,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,,,,,,,,,,,,,,,,,,,,,,,,,FRI 230,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,,,,,,,,,,,,,,,,,,,,,,,,,FRI 245,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,SAT 1215,,,,,,,,,,,,,,,,,,,,,,,,,FRI 300,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,SAT 630,,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,SAT 1230,,,,,,,,,,,,,,,,,,,,,,,,,FRI 315,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,SAT 645,,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,SAT 1245,,,,,,,,,,,,,,,,,,,,,,,,,FRI 330,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,,,,,,,,,,,,,,,,,
